"","Continente","mes_ano","verao","primavera","outono","inverno","Chegadas","percent"
"307","Continente não especificado",2014-07-01,0,0,0,1,11,-1.92307692307692
"308","Continente não especificado",2014-08-01,0,0,0,1,11,0
"309","Continente não especificado",2014-09-01,0,1,0,0,11,0
"310","Continente não especificado",2014-10-01,0,1,0,0,11,0
"311","Continente não especificado",2014-11-01,0,1,0,0,15,0.363636363636364
"312","Continente não especificado",2014-12-01,1,0,0,0,15,0
"313","Continente não especificado",2015-01-01,1,0,0,0,29,0.933333333333333
"314","Continente não especificado",2015-02-01,1,0,0,0,16,-0.866666666666667
"315","Continente não especificado",2015-03-01,0,0,1,0,22,0.206896551724138
"316","Continente não especificado",2015-04-01,0,0,1,0,14,-0.5
"317","Continente não especificado",2015-05-01,0,0,1,0,14,0
"318","Continente não especificado",2015-06-01,0,0,0,1,7,-0.5
"319","Continente não especificado",2015-07-01,0,0,0,1,5,-0.142857142857143
"320","Continente não especificado",2015-08-01,0,0,0,1,14,1.28571428571429
"321","Continente não especificado",2015-09-01,0,1,0,0,7,-1.4
"322","Continente não especificado",2015-10-01,0,1,0,0,5,-0.142857142857143
"323","Continente não especificado",2015-11-01,0,1,0,0,6,0.142857142857143
"324","Continente não especificado",2015-12-01,1,0,0,0,3,-0.6
"325","Continente não especificado",2016-01-01,1,0,0,0,9,1
"326","Continente não especificado",2016-02-01,1,0,0,0,8,-0.333333333333333
"327","Continente não especificado",2016-03-01,0,0,1,0,16,0.888888888888889
"328","Continente não especificado",2016-04-01,0,0,1,0,0,-2
"329","Continente não especificado",2016-05-01,0,0,1,0,10,0.625
"330","Continente não especificado",2016-06-01,0,0,0,1,7,-Inf
"331","Continente não especificado",2016-07-01,0,0,0,1,3,-0.4
"332","Continente não especificado",2016-08-01,0,0,0,1,9,0.857142857142857
"333","Continente não especificado",2016-09-01,0,1,0,0,15,2
"334","Continente não especificado",2016-10-01,0,1,0,0,3,-1.33333333333333
"335","Continente não especificado",2016-11-01,0,1,0,0,6,0.2
"336","Continente não especificado",2016-12-01,1,0,0,0,4,-0.666666666666667
